"Schub_x","Schub_y"
3.2307,-81.1565,
3.2424,-213.7191,
3.254,15.9985,
3.2656,-266.3987,
3.2772,-72.3046,
3.2888,-86.1222,
3.3004,-144.847,
3.312,-4.7279,
3.3236,-243.5133,
3.3352,-22.6476,
3.3468,-171.6186,
3.3585,-139.6654,
3.3701,-71.441,
3.3817,-253.0129,
3.3933,-6.0233,
3.4049,-224.73,
3.4165,-135.3474,
3.4281,-153.0512,
3.4397,-202.0605,
3.4513,0.6696,
3.4629,-240.0589,
3.4746,-45.7489,
3.4862,-202.7082,
3.4978,-128.8704,
3.5094,-47.0443,
3.521,-246.7518,
3.5326,-23.943,
3.5442,-218.6848,
3.5558,-109.4394,
3.5675,-123.9047,
3.5791,-219.7643,
3.5907,-26.102,
3.6023,-260.7853,
3.6139,-30.2041,
3.6255,-173.7776,
3.6371,-166.8688,
3.6487,-40.7832,
3.6603,-257.7627,
3.6719,-29.9882,
3.6836,-238.3317,
3.6952,-109.0076,
3.7068,-141.1767,
3.7184,-272.8757,
3.73,-64.1004,
3.7416,-284.7502,
3.7532,-45.9648,
3.7649,-181.3341,
3.7764,-128.4386,
3.7881,-41.6468,
3.7997,-258.6263,
3.8113,-8.6141,
3.8229,-210.9124,
3.8345,-125.416,
3.8461,-148.5173,
3.8577,-227.9685,
3.8693,43.6337,
3.8809,-163.6303,
3.8926,34.1341,
3.9042,-71.2251,
3.9158,-88.2812,
3.9274,12.76,
3.939,-182.4136,
3.9506,58.9626,
3.9622,-173.7776,
3.9739,-21.1363,
3.9855,14.919,
3.9971,-61.2937,
4.0087,147.9134,
4.0202,-96.9172,
4.0319,87.6773,
4.0435,22.0437,
4.0551,61.5534,
4.0667,140.3569,
4.0783,-82.6678,
4.09,104.3016,
4.1016,-68.6343,
4.1132,11.2487,
4.1248,55.5082,
4.1364,-61.0778,
4.148,110.5627,
4.1596,-105.7691,
4.1712,48.5994,
4.1829,-14.0116,
4.1944,5.2035,
4.2061,102.1426,
4.2177,-55.2485,
4.2293,116.392,
4.2409,-53.3054,
4.2525,94.802,
4.2641,111.2104,
4.2757,-16.3865,
4.2874,120.4941,
4.299,-56.9757,
4.3106,59.6103,
4.3222,-11.6367,
4.3338,-46.1807,
4.3454,40.827,
4.357,-72.0887,
4.3686,67.8145,
4.3802,-35.1698,
4.3918,36.509,
4.4035,7.1466,
4.4151,-109.6553,
4.4267,88.7568,
4.4383,-76.4067,
4.4499,16.6462,
4.4615,-50.7146,
4.4731,-44.2376,
4.4847,64.576,
4.4964,-107.4963,
4.508,105.8129,
4.5195,-64.3163,
4.5312,16.4303,
4.5428,34.9977,
4.5544,-115.7005,
4.566,99.3359,
4.5776,-83.3155,
4.5893,69.1099,
4.6009,-10.989,
4.6125,-65.3958,
4.6241,81.4162,
4.6357,-58.7029,
4.6473,166.2649,
4.6589,-48.9874,
4.6705,-23.943,
4.6821,18.5893,
4.6937,-110.5189,
4.7054,84.2229,
4.717,-106.2009,
4.7286,40.6111,
4.7402,-32.579,
4.7518,-97.5649,
4.7634,71.4848,
4.775,-95.19,
4.7867,80.3367,
4.7983,-75.5431,
4.8099,12.5441,
4.8215,66.9509,
4.8331,-106.8486,
4.8447,92.4271,
4.8563,-158.0169,
4.868,66.5191,
4.8796,10.601,
4.8912,-44.0217,
4.9028,80.1208,
4.9144,-117.4277,
4.926,77.53,
4.9376,-55.4644,
4.9492,8.2261,
4.9609,52.4856,
4.9725,-109.2235,
4.9841,112.2899,
4.9957,-82.0201,
5.0073,88.5409,
5.0188,42.986,
5.0305,-24.5907,
5.0421,153.9586,
5.0537,-114.1892,
5.0653,135.3912,
5.077,-9.4777,
5.0885,20.7483,
5.1002,77.0982,
5.1118,-76.4067,
5.1234,132.1527,
5.135,-74.6795,
5.1466,64.7919,
5.1583,9.7374,
5.1698,-100.3716,
5.1815,48.1676,
5.1931,-118.5072,
